Timestamp;Timestamp_Excel;00000022;00000023;00000024;00000025;00000026;00000027;00000028;00000029;0000002A;0000002B;0000002C;0000002D;0000002E;0000002F;00000030;00000031;00000032;00000033;00000034;00000017;00000018;00000019;00000020;0000001F;0000001D;0000001E;00000035;00000036;00000037;00000038;00000039;0000003A;0000003B;0000003C;0000003D;0000003E;00000053;00000050
1640162507263;2021-12-22T09:41:47;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.31;15.81;20.31;29.62;27.06;24.31;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162507339;2021-12-22T09:41:47;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.31;15.81;20.31;29.62;27.06;24.31;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162507426;2021-12-22T09:41:47;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.31;15.81;20.31;29.62;27.06;24.31;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162507540;2021-12-22T09:41:47;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.31;15.81;20.31;29.62;27.06;24.31;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162507623;2021-12-22T09:41:47;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.31;15.81;20.31;29.62;27.06;24.31;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162507722;2021-12-22T09:41:47;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.31;15.81;20.31;29.62;27.06;24.31;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162507827;2021-12-22T09:41:47;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.38;15.81;20.25;29.62;27.06;24.38;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162507925;2021-12-22T09:41:47;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.38;15.81;20.25;29.62;27.06;24.38;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162508024;2021-12-22T09:41:48;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.38;15.81;20.25;29.62;27.06;24.38;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162508121;2021-12-22T09:41:48;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.38;15.81;20.25;29.62;27.06;24.38;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162508223;2021-12-22T09:41:48;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.38;15.81;20.25;29.62;27.06;24.38;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162508333;2021-12-22T09:41:48;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.38;15.81;20.25;29.62;27.06;24.38;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162508434;2021-12-22T09:41:48;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.38;15.81;20.25;29.62;27.06;24.38;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162508521;2021-12-22T09:41:48;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.38;15.81;20.25;29.62;27.06;24.38;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162508623;2021-12-22T09:41:48;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.38;15.81;20.25;29.62;27.06;24.38;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162508722;2021-12-22T09:41:48;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.40;-2.50;15.38;15.81;20.25;29.62;27.06;24.38;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
1640162508823;2021-12-22T09:41:48;false;true;false;0.00;0.00;0.00;-50.00;0.00;false;false;false;false;false;false;false;0.00;0.00;-7.50;-2.50;15.38;15.81;20.31;29.62;27.06;24.38;29.31;false;0.00;0.00;false;false;false;100.00;0.00;0.00;0.00;0.00;4.00
