Timestamp;Timestamp_Excel;00000022;00000023;00000024;00000025;00000026;00000027;00000028;00000029;0000002A;0000002B;0000002C;0000002D;0000002E;0000002F;00000030;00000031;00000032;00000033;00000034;00000017;00000018;00000019;00000020;0000001F;0000001D;0000001E;00000035;00000036;00000037;00000038;00000039;0000003A;0000003B;0000003C;0000003D;0000003E;00000053;00000050
1640175108665;2021-12-22T13:11:48;true;false;false;1100.00;23.50;11.00;57.00;33.00;false;false;false;false;false;false;false;1.00;0.00;12.50;4.70;1.69;0.62;3.94;57.94;32.31;4.44;32.38;true;1089.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640175108736;2021-12-22T13:11:48;true;false;false;1100.00;23.50;11.00;57.00;33.00;false;false;false;false;false;false;false;1.00;0.00;12.50;4.70;1.69;0.62;4.00;57.94;32.31;4.44;32.38;true;1087.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640175108848;2021-12-22T13:11:48;true;false;false;1100.00;23.50;11.00;57.00;32.50;false;false;false;false;false;false;false;1.00;0.00;12.60;4.70;1.69;0.62;4.00;57.94;32.31;4.44;32.38;true;1087.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640175108925;2021-12-22T13:11:48;true;false;false;1050.00;23.50;11.00;57.00;32.50;false;false;false;false;false;false;false;1.00;0.00;12.50;4.70;1.69;0.62;4.00;57.94;32.31;4.44;32.38;true;1087.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640175109063;2021-12-22T13:11:49;true;false;false;1050.00;23.50;11.00;57.00;32.50;false;false;false;false;false;false;false;1.00;0.00;12.50;4.70;1.69;0.62;4.00;57.94;32.31;4.44;32.38;true;1087.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640175109133;2021-12-22T13:11:49;true;false;false;1050.00;23.50;11.00;57.00;32.50;false;false;false;false;false;false;false;1.00;0.00;12.50;4.70;1.69;0.62;4.00;57.94;32.31;4.44;32.38;true;1087.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640175109227;2021-12-22T13:11:49;true;false;false;1050.00;23.50;11.00;57.00;33.00;false;false;false;false;false;false;false;1.00;0.00;12.50;4.70;1.69;0.62;4.00;57.94;32.31;4.44;32.38;true;1087.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640175109334;2021-12-22T13:11:49;true;false;false;1050.00;23.50;11.00;57.00;32.50;false;false;false;false;false;false;false;1.00;0.00;12.50;4.70;1.69;0.62;4.00;57.94;32.31;4.44;32.38;true;1087.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640175109430;2021-12-22T13:11:49;true;false;false;1050.00;23.50;11.00;57.00;32.50;false;false;false;false;false;false;false;1.00;0.00;12.40;4.70;1.69;0.62;4.00;57.94;32.31;4.44;32.38;true;1087.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
1640175109539;2021-12-22T13:11:49;true;false;false;1050.00;23.50;11.00;57.00;32.50;false;false;false;false;false;false;false;1.00;0.00;12.50;4.70;1.69;0.62;4.00;57.94;32.31;4.44;32.38;true;1087.00;0.95;true;true;false;100.00;100.00;60.00;60.00;1.00;4.00
